Data Source,Term,Description,XPath of Relevant Node in Message Schema,XPath UCI Type,Python Path to Field,Protobuf Message Fields,Protobuf/ZMQ Generated Datatype,Protobuf/ZMQ Generated Units,OpenAPI Swagger Datatype,Cassandra Table,Cassandra Field,Cassandra Datatype,Cassandra Units,Default Values
Entity Message,Pulse Width Min,Minimum measured pulse width of the Signal of the Entity,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PulseWidthMin    ,uci:DurationType,sigSummary.signal_description.pulse_width_min,PulseWidthMin,int64,ns,number($float),EntityMsg,pulsewidth_min,float,ns,0
Entity Message,Pulse Width Avg,Average measured pulse width of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PulseWidthAverage    ,uci:DurationType,sigSummary.signal_description.pulse_width_average,PulseWidthAverage    ,int64,ns,number($float),EntityMsg,pulsewidth_avg,float,ns,0
Entity Message,Pulse Width Max,Maximum measured pulse width of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PulseWidthMax    ,uci:DurationType,sigSummary.signal_description.pulse_width_max,PulseWidthMax    ,int64,ns,number($float),EntityMsg,pulsewidth_max,float,ns,0
Generated,PRI Range,Range of Pulse Repetition Intervals (PRI) by taking the min and max PRIs.,-,-,-,-,object,-,list<number($float)>,EntityMsg,pri_range,text,-,"[0.0, 0.0]"
Entity Message,PRI Min,Minimum measured PRI of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PRI_Min    ,uci:DurationType,sigSummary.signal_description.p_r_i__min,PRI_Min    ,int64,ns,number($float),EntityMsg,pri_min,float,ns,0
Entity Message,PRI Avg,Average measured PRI of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PRI_Average    ,uci:DurationType,sigSummary.signal_description.p_r_i__average,PRI_Average,int64,ns,number($float),EntityMsg,pri_avg,float,ns,0
Entity Message,PRI Max,Maximum measured PRI of the Signal of the Entity.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:SignalDescription/uci:PRI_Max    ,uci:DurationType,sigSummary.signal_description.p_r_i__max,PRI_Max    ,int64,ns,number($float),EntityMsg,pri_max,float,ns,0
Generated,Position,"Object containing latitude, longitude, and altitude. Current or last known location.",-,-,-,-,object,-,list<number($float)>,EntityMsg,position,text,-,"[0.0, 0.0, 0.0]"
Entity Message,Latitude,"Latitude of the emitter.  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:Entity/uci:MessageData/uci:Kinematics/uci:Position/uci:FixedPositionType/uci:FixedPoint/uci:Latitude,uci:AngleHalfType,entityMsg.message_data.kinematics.position.fixed_position_type.fixed_point.latitude,Latitude,float,radians,number($float),EntityMsg,latitude,float,radians,0
Entity Message,Longitude,"Longitude of the emitter.  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:Entity/uci:MessageData/uci:Kinematics/uci:Position/uci:FixedPositionType/uci:FixedPoint/uci:Longitude,uci:AngleType,entityMsg.message_data.kinematics.position.fixed_position_type.fixed_point.longitude,Longitude,float,radians,number($float),EntityMsg,longitude,float,radians,0
Entity Message,Altitude,"Altitude of the emitter.  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:Entity/uci:MessageData/uci:Kinematics/uci:Position/uci:FixedPositionType/uci:FixedPoint/uci:Altitude,uci:AltitudeType,entityMsg.message_data.kinematics.position.fixed_position_type.fixed_point.altitude,Altitude,double,meters,number($float),EntityMsg,altitude,float,meters,0
Generated,Data,Generated .json of the entire entity message.,-,-,-,-,text,json,string($json),EntityMsg,data,text,-,-
Generated,Pulse Data Message UUID,Note: Generated at Database insert query,-,-,-,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PulseDataMsg,pulsedata_msg_uuid,uuid,-,Required by Source & Table
Pulse Data,Source Pulse Data UUID,Unique ID associated w/ specific Pulse Data Collection.,uci:PulseData/uci:MessageData/uci:PulseDataID/uci:UUID,uci:UniversallyUniqueIdentifierType,pulseDataMsg.message_header.system_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PulseDataMsg,source_pulse_uuid,uuid,-,Required by Source & Table
Pulse Data,Source Payload UUID,The UUID of the system that is sending the message.,uci:PulseData/uci:MessageHeader/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,pulseDataMsg.message_header.system_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PulseDataMsg,source_payload_uuid,uuid,-,00000000-0000-0000-0000-000000000000
Pulse Data,Component UUID,The UUID of the component (e.g. antenna can be single or logical grouping of antennas) of the system that is sending the message.,uci:PulseData/uci:MessageData/uci:Pulse/uci:ComponentID/uci:UUID,uci:UniversallyUniqueIdentifierType,pulseDataMsg.message_data.pulse[0].component_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PulseDataMsg,component_uuid,uuid,-,Required by Source & Table
Generated,Epoch Partition,Partition identifier for epoch.,-,-,-,-,uint64,epoch unix - ns,integer,PulseDataMsg,epoch_partition,bigint,epoch unix - ns,-
Generated,Write Timestamp,Timestamp when the data was written to the database. In Epoch Time seconds,-,-,-,-,uint64,epoch unix - ns,integer($utc),PulseDataMsg,write_timestamp,bigint,epoch unix - ns,-
Pulse Data,Latest Timestamp,"Latest timestamp of the which the pulse was received.  In Epoch Time nanoseconds. This will be the actual time of day if avalible, or the system time relative to startup",uci:PulseData/uci:MessageData/uci:Pulse/uci:Timestamp/uci:DateTime,uci:DateTimeType,pulseDataMsg.message_data.pulse.timestamp.date_time,DateTime,uint64,epoch unix - ns,integer($utc),PulseDataMsg,latest_timestamp,bigint,epoch unix - ns,Required by Source & Table
Pulse Data,Frequency,A list of frequencies from the Pulse Data.,uci:PulseData/uci:MessageData/uci:Pulse/uci:Frequency,uci:FrequencyType,pulseDataMsg.message_data.pulse.frequency,Frequency,double,MHz,list<number($float)>,PulseDataMsg,frequency,list<float>,MHz,0
Generated,Frequency Range,Range of frequencies by taking the min and max frequencies.,-,-,-,-,object,-,list<number($float)>,PulseDataMsg,frequency_range,text,-,-
Generated,Frequency Min,Minimum frequency.,-,-,-,-,double,MHz,number($float),PulseDataMsg,frequency_min,float,MHz,-
Generated,Frequency Avg,Average frequency.,-,-,-,-,double,MHz,number($float),PulseDataMsg,frequency_avg,float,MHz,-
Generated,Frequency Max,Maximum frequency.,-,-,-,-,double,MHz,number($float),PulseDataMsg,frequency_max,float,MHz,-
Pulse Data,Amplitude,A list of amplitudes (power level) from the Pulse Data.,uci:PulseData/uci:MessageData/uci:Pulse/uci:Amplitude,uci:MilliwattPowerRatioType,pulseDataMsg.message_data.pulse.amplitude,Amplitude,double,dBm,list<number($float)>,PulseDataMsg,amplitude,list<float>,dBm,0
Generated,Amplitude Range,Range of amplitudes by taking the min and max amplitudes.,-,-,-,-,object,-,list<number($float)>,PulseDataMsg,amplitude_range,text,-,-
Generated,Amplitude Min,Minimum amplitude.,-,-,-,-,double,dBm,number($float),PulseDataMsg,amplitude_min,float,dBm,-
Generated,Amplitude Avg,Average amplitude.,-,-,-,-,double,dBm,number($float),PulseDataMsg,amplitude_avg,float,dBm,-
Generated,Amplitude Max,Maximum amplitude.,-,-,-,-,double,dBm,number($float),PulseDataMsg,amplitude_max,float,dBm,-
Pulse Data,Pulse Width,A list of pulse widths from the Pulse Data.,uci:PulseData/uci:MessageData/uci:Pulse/uci:PulseWidth ,uci:DurationType,pulseDataMsg.message_data.pulse.pulse_width,PulseWidth ,double,ns,list<number($float)>,PulseDataMsg,pulsewidth,list<float>,ns,0
Generated,Pulse Width Range,Range of pulse widths by taking the min and max pulse widths.,-,-,-,-,object,-,list<number($float)>,PulseDataMsg,pulsewidth_range,text,-,-
Generated,Pulse Width Min,Minimum pulse width.,-,-,-,-,double,ns,number($float),PulseDataMsg,pulsewidth_min,float,ns,-
Generated,Pulse Width Avg,Average pulse width.,-,-,-,-,double,ns,number($float),PulseDataMsg,pulsewidth_avg,float,ns,-
Generated,Pulse Width Max,Maximum pulse width.,-,-,-,-,double,ns,number($float),PulseDataMsg,pulsewidth_max,float,ns,-
Pulse Data,TOA,A list of Time of Arrivals.,uci:PulseData/uci:MessageData/uci:Pulse/uci:RelativeLOS/uci:Measurement/uci:ArrivalData/uci:TimeOfArrival,uci:DurationType,pulseDataMsg.message_data.pulse.timestamp.date_time,TimeOfArrival,timestamp,ps,list<integer($bigint)>,PulseDataMsg,toa,list<bigint>,ps,0
Pulse Data,SNR,Signal to Noise Ratio.,uci:PulseData/uci:MessageData/uci:Pulse/uci:SNR,uci:DecibelType,pulseDataMsg.message_data.pulse.s_n_r,SNR,double,dB,list<number($float)>,PulseDataMsg,snr,list<float>,dB,0
Generated,AOA,"Angle of Arrival, object containing Theta and Phi.",-,-,-,-,object,-,list<list<number($float)>>,PulseDataMsg,aoa,text,-,-
Pulse Data,Theta,The azimuth angle component of the Angle of Arrival (AOA). It measures the horizontal angle of the incoming signal relative to a reference direction (radians).,-,,-,Theta,double,radians,list<number($float)>,PulseDataMsg,theta,list<float>,radians,0
Pulse Data,Phi,The elevation angle component of the Angle of Arrival (AOA). It measures the vertical angle of the incoming signal relative to the horizontal plane (radians).,-,,-,Phi,double,radians,list<number($float)>,PulseDataMsg,phi,list<float>,radians,0
Pulse Data,Phase,The position of a point in time on a waveform cycle (radians) and indicates the fraction of the waveform cycle that has elapsed relative to a reference point.,-,,-,Phase,double,radians,list<number($float)>,PulseDataMsg,phase,list<float>,radians,0
Generated,Position,"Object containing latitude, longitude, and altitude. Position of the platform the time the pulse was created.",-,-,-,-,object,-,list<number($float)>,PulseDataMsg,position,text,-,-
Pulse Data,Latitude,Latitude of the platform the time the pulse was created.,uci:PulseData/uci:MessageData/uci:NavData/uci:PlatformKinematics/uci:Position/uci:FixedPoint/uci:Latitude,uci:AngleHalfType,pulseDataMsg.message_data.collector_kinematics.platform_kinematics.position.fixed_point.latitude,Latitude,double,radians,number($float),PulseDataMsg,latitude,float,radians,0
Pulse Data,Longitude,Longitude of the platform the time the pulse was created.,uci:PulseData/uci:MessageData/uci:NavData/uci:PlatformKinematics/uci:Position/uci:FixedPoint/uci:Longitude,uci:AngleType,pulseDataMsg.message_data.collector_kinematics.platform_kinematics.position.fixed_point.longitude,Longitude,double,radians,number($float),PulseDataMsg,longitude,float,radians,0
Pulse Data,Altitude,Altitude of the platform the time the pulse was created.,uci:PulseData/uci:MessageData/uci:NavData/uci:PlatformKinematics/uci:Position/uci:FixedPoint/uci:Altitude,uci:AltitudeType,pulseDataMsg.message_data.collector_kinematics.platform_kinematics.position.fixed_point.altitude,Altitude,double,meters,number($float),PulseDataMsg,altitude,float,meters,0
Generated,DOF,"Degrees of Freedom. Position object containing Roll, Pitch, and Yaw?",-,-,-,-,object,-,list<number($float)>,PulseDataMsg,dof,text,-,-
Pulse Data,Roll,Rotation around the longitudinal axis of the payload (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Roll,uci:AngleType,,Roll,double,radians,number($float),PulseDataMsg,roll,float,radians,0
Pulse Data,Pitch,Rotation around the lateral axis of the system (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Pitch,uci:AngleHalfType,,Pitch,double,radians,number($float),PulseDataMsg,pitch,float,radians,0
Pulse Data,Yaw,Rotation around the vertical axis of the system (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Yaw,uci:AngleType,,Yaw,double,radians,number($float),PulseDataMsg,yaw,float,radians,0
Pulse Data,Source Payload UUID,The UUID of the system that is sending the message.,uci:PulseData/uci:MessageHeader/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,entityMsg.message_header.system_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Payloads,source_payload_uuid,uuid,-,Required by Source & Table
Entity Message,Payload Name,Name of PAYLOAD.,uci:Entity/uci:MessageHeader/uci:SystemID/uci:DescriptiveLabel,uci:VisibleString256Type,entityMsg.message_header.system_i_d.descriptive_label,DescriptiveLabel,string,-,string,Payloads,payload_name,text,-,payload_name
Entity Message,Active Status,"Indicates the degree to which the real world asset which the Entity represents is ready to perform the overall operational mission or missions for which it was organized and equipped. An Entity with this element specified will generally have an xOB contributor reference which can used to query for additional xOB data that isn't duplicated in Entity. Thus, for example, when an enum value of ""O"" is used refer to available xOB OperationalStatus elements. (UNSPECIFIED, POTENTIAL, TENTATIVE, CONFIRMED, DROP_PENDING, DROPPED, GHOST, DESTROYED, MISSING, UNKNOWN)",uci:Entity/uci:MessageData/uci:EntityStatus,uci:EntityStatusEnum,EntityMDT.EntityStatusEnum.Name(entityMsg.message_data.entity_status),EntityStatusEnum,enum,-,boolean,Payloads,active_status,text,-,ACTIVE
Subsystem Status,Processing Status,"Indicates the processing status of a request or command. (UNSPECIFIED, QUEUED, PROCESSING, COMPLETED, FAILED)",uci:SubsystemStatus/uci:MessageData/uci:EraseStatus,uci:ProcessingStatusEnum,SubsystemStatusMDT.ProcessingStatusEnum.Name(subsystemMsg.message_data.erase_status),ProcessingStatusEnum,enum,-,boolean,Payloads,processing_status,text,-,UNSPECIFIED
Subsystem Status,Subsystem State,"Indicates the overall status/state of the Subsystem.  See enumeration annotations for further details. (UNSPECIFIED, UNKNOWN, NOT_INSTALLED, OFF, PRE_INITIALIZATION, INITIALIZATION, STANDBY, OPERATE, OPERATE_RX_ONLY, OPERATE_TX_ONLY, MAINTENANCE, CALIBRATION, INITIATIED_BIT, SHUTDOWN, DEGRADED)",uci:SubsystemStatus/uci:MessageData/uci:SubsystemState,uci:SubsystemStateEnum,SubsystemStatusMDT.SubsystemStateEnum.Name(subsystemMsg.message_data.subsystem_state),SubsystemStateEnum,enum,-,boolean,Payloads,subsystem_state,text,-,subsystem_state
Generated,Write Timestamp,Timestamp when the data was written.,-,-,-,-,uint64,epoch unix - ns,integer($utc),Payloads,write_timestamp,bigint,epoch unix - ns,int(now)
Entity Message,Latest Timestamp,Latest timestamp of the last detected signal from the ENTITY.,uci:Entity/uci:MessageData/uci:SignalSummary/uci:LatestDetectionTimestamp,uci:DateTimeType,sigSummary.latest_detection_timestamp,LatestDetectionTimestamp,uint64,epoch unix - ns,integer($utc),Payloads,latest_timestamp,bigint,epoch unix - ns,int(now)
Generated,Payload Message UUID,The UUID of the payload message.,-,uci:UniversallyUniqueIdentifierType,-,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Payloads,payload_msg_uuid,uuid,-,Required by Source & Table
Position Report,Source Payload UUID,The UUID of the system that is sending the message.,uci:PositionReport/uci:MessageData/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,PositionReportMDT.message_data.system_i_d.u_u_i_d,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Payloads,source_payload_uuid,uuid,-,Required by Source & Table
Position Report,Payload Name,Name of PAYLOAD.,uci:PositionReport/uci:MessageData/uci:SystemID/uci:DescriptiveLabel,uci:VisibleString256Type,PositionReportMDT.message_data.system_i_d.descriptive_label,DescriptiveLabel,string,-,string,Payloads,payload_name,text,-,payload_name
Generated,Active Status,"Indicates the degree to which the real world asset which the Entity represents is ready to perform the overall operational mission or missions for which it was organized and equipped. An Entity with this element specified will generally have an xOB contributor reference which can used to query for additional xOB data that isn't duplicated in Entity. Thus, for example, when an enum value of ""O"" is used refer to available xOB OperationalStatus elements. (UNSPECIFIED, POTENTIAL, TENTATIVE, CONFIRMED, DROP_PENDING, DROPPED, GHOST, DESTROYED, MISSING, UNKNOWN)",-,-,"if given a report, 1 (ACTIVE), else 0 (INACTIVE)",-,boolean,-,boolean,Payloads,active_status,text,-,ACTIVE
Generated,Processing Status,"Indicates the processing status of a request or command. (UNSPECIFIED, QUEUED, PROCESSING, COMPLETED, FAILED)",-,-,-,-,enum,-,boolean,Payloads,processing_status,text,-,UNSPECIFIED
Generated,Subsystem State,"Specifies the mode the system is currently operating in (UNSPECIFIED, LIVE, EXERCISE, SIMULATION)",uci:PositionReport/uci:MessageHeader/uci:Mode,uci:MessageModeEnum,"PositionReportMT.message_header.mode[0,1,2,3]",MessageModeEnum,enum,-,string,Payloads,subsystem_state,text,-,UNSPECIFIED
Generated,Write Timestamp,Timestamp when the data was written.,-,,-,-,uint64,epoch unix - ns,integer($utc),Payloads,write_timestamp,bigint,epoch unix - ns,int(now)
Position Report,Latest Timestamp,Latest timestamp of the last detected signal from the ENTITY.,uci:PositionReport/uci:MessageHeader/uci:Timestamp,uci:DateTimeType,PositionReportMT.message_header.timestamp,LatestDetectionTimestamp,uint64,epoch unix - ns,integer($utc),Payloads,latest_timestamp,bigint,epoch unix - ns,int(now)
Generated,Position Report Message UUID,The UUID of the Position Report Message.,-,-,-,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PositionReportMsg,position_report_msg_uuid,uuid,-,Required by Source & Table
Position Report,Source Position Report UUID,The UUID of the system/platform that sent the message (sender).,uci:PositionReport/uci:MessageData/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,postionReportMsg.message_header.system_i_d.u_u_i_d, UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PositionReportMsg,source_position_report_uuid,uuid,-,00000000-0000-0000-0000-000000000000
Position Report,Source Payload UUID,The UUID of the system that this position data corresponds to (collector).,uci:PositionReport/uci:MessageHeader/uci:SystemID/uci:UUID,uci:UniversallyUniqueIdentifierType,postionReportMsg.message_header.system_i_d.u_u_i_d, UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),PositionReportMsg,source_payload_uuid,uuid,-,Required by Source & Table
Generated,Write Timestamp,Timestamp when the data was written.,-,-,-,-,uint64,epoch unix - ns,integer($utc),PositionReportMsg,write_timestamp,bigint,epoch unix - ns,int(now)
Position Report,Latest Timestamp,Latest timestamp when positional data was measured or last known to be correct.,uci:PositionReport/uci:MessageHeader/uci:Timestamp,uci:DateTimeType,postionReportMsg.message_data.system_i_d.inertial_state.position.timestamp,Timestamp,uint64,epoch unix - ns,integer($utc),PositionReportMsg,latest_timestamp,bigint,epoch unix - ns,Required by Source & Table
Position Report,Magnetic Heading,Heading in relationship to magnetic north (radians),uci:PositionReport/uci:MessageData/uci:MagneticHeading,uci:AngleType,postionReportMsg.message_data.magnetic_heading,MagneticHeading,double,radians,number,PositionReportMsg,magnetic_heading,float,radians,0
Position Report,Altitude Reference,"Datum or baseline used to measure the altitude of the PAYLOAD.  If not specified, then the reference is to be taken as WGS-84 ellipsoid.",uci:PositionReport/uci:MessageData/uci:InertialState/uci:Position/uci:AltitudeReference,uci:AltitudeReferenceEnum,postionReportMsg.message_data.system_i_d.inertial_state.position.altitude_reference,AltitudeReference,double,meters,string,PositionReportMsg,altitude_reference,float,meters,0
Generated,Position,"Object containing latitude, longitude, and altitude. Physical location in geospatial coordinates.",-,-,-,-,object,-,list<number($float)>,PositionReportMsg,position,text,-,-
Position Report,Latitude,"Latitude of the payload (radians).  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:PositionReport/uci:MessageData/uci:InertialState/uci:Position/uci:Latitude,uci:AngleHalfType,postionReportMsg.message_data.system_i_d.inertial_state.position.latitude,Latitude,double,radians,number($float),PositionReportMsg,latitude,float,radians,0
Position Report,Longitude,"Longitude of the payload (radians).  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:PositionReport/uci:MessageData/uci:InertialState/uci:Position/uci:Longitude,uci:AngleType,postionReportMsg.message_data.system_i_d.inertial_state.position.longitude,Longitude,double,radians,number($float),PositionReportMsg,longitude,float,radians,0
Position Report,Altitude,"Altitude of the payload (meters).  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",uci:PositionReport/uci:MessageData/uci:InertialState/uci:Position/uci:Altitude,uci:AltitudeType,postionReportMsg.message_data.system_i_d.inertial_state.position.altitude,Altitude,double,meters,number($float),PositionReportMsg,altitude,float,meters,0
Generated,DOF,"Degrees of Freedom. Position object containing Roll, Pitch, and Yaw?",-,-,-,-,object,-,list<number($float)>,PositionReportMsg,dof,text,-,-
Position Report,Roll,Rotation around the longitudinal axis of the payload (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Roll,uci:AngleType,postionReportMsg.message_data.system_i_d.inertial_state.orientation.roll,Roll,double,radians,number($float),PositionReportMsg,roll,float,radians,0
Position Report,Pitch,Rotation around the lateral axis of the system (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Pitch,uci:AngleHalfType,postionReportMsg.message_data.system_i_d.inertial_state.orientation.pitch,Pitch,double,radians,number($float),PositionReportMsg,pitch,float,radians,0
Position Report,Yaw,Rotation around the vertical axis of the system (radians).,uci:PositionReport/uci:MessageData/uci:InertialState/uci:Orientation/uci:Yaw,uci:AngleType,postionReportMsg.message_data.system_i_d.inertial_state.orientation.yaw,Yaw,double,radians,number($float),PositionReportMsg,yaw,float,radians,0
Generated,EOB UUID,Unique ID associated w/ specific EOB instance.,-,-,-,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Eob,eob_uuid,uuid,-,Required by Source & Table
Entity Message,Entity Message UUID,Unique ID associated w/ specific Entity Report message containing Entity data from specific PAYLOAD.,-,-,-,UUID,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Eob,entity_msg_uuid,uuid,-,UUID.uuid()
Generated,Group UUID,Unique ID associated w/ grouped EOBs.,-,-,-,-,"bytes – 128-bit number (32 hex digits, 16 bytes)",-,string($uuid),Eob,group_uuid,uuid,-,00000000-0000-0000-0000-000000000000
Generated,Entity Name,Readable name of ENTITY.,-,-,-,-,string,-,string,Eob,entity_name,text,-,entity_name
